intake_year,intake_month,intake_month_name,Animal Type,Intake Type,count
2017,3,March,Dog,Public Assist,147
2017,3,March,Dog,Stray,845
2017,4,April,Cat,Owner Surrender,138
2017,4,April,Cat,Public Assist,23
2017,4,April,Cat,Stray,478
2017,4,April,Dog,Owner Surrender,335
2017,4,April,Dog,Public Assist,101
2017,4,April,Dog,Stray,803
2017,5,May,Cat,Owner Surrender,183
2017,5,May,Cat,Public Assist,10
2017,5,May,Cat,Stray,811
2017,5,May,Dog,Euthanasia Request,2
2017,5,May,Dog,Owner Surrender,393
2017,5,May,Dog,Public Assist,118
2017,5,May,Dog,Stray,872
2017,6,June,Cat,Owner Surrender,175
2017,6,June,Cat,Public Assist,14
2017,6,June,Cat,Stray,812
2017,6,June,Dog,Owner Surrender,292
2017,6,June,Dog,Public Assist,126
2017,6,June,Dog,Stray,802
2017,7,July,Cat,Euthanasia Request,2
2017,7,July,Cat,Owner Surrender,124
2017,7,July,Cat,Public Assist,12
2017,7,July,Cat,Stray,610
2017,7,July,Dog,Owner Surrender,264
2017,7,July,Dog,Public Assist,107
2017,7,July,Dog,Stray,866
2017,8,August,Cat,Owner Surrender,140
2017,8,August,Cat,Public Assist,11
2017,8,August,Cat,Stray,475
2017,8,August,Dog,Owner Surrender,306
2017,8,August,Dog,Public Assist,154
2017,8,August,Dog,Stray,770
2017,9,September,Cat,Owner Surrender,206
2017,9,September,Cat,Public Assist,27
2017,9,September,Cat,Stray,513
2017,9,September,Dog,Owner Surrender,298
2017,9,September,Dog,Public Assist,383
2017,9,September,Dog,Stray,740
2017,10,October,Cat,Euthanasia Request,1
2017,10,October,Cat,Owner Surrender,129
2017,10,October,Cat,Public Assist,6
2017,10,October,Cat,Stray,448
2017,10,October,Dog,Euthanasia Request,1
2017,10,October,Dog,Owner Surrender,257
2017,10,October,Dog,Public Assist,141
2017,10,October,Dog,Stray,884
2017,11,November,Cat,Owner Surrender,135
2017,11,November,Cat,Public Assist,17
2017,11,November,Cat,Stray,339
2017,11,November,Dog,Owner Surrender,248
2017,11,November,Dog,Public Assist,114
2017,11,November,Dog,Stray,816
2017,12,December,Cat,Owner Surrender,152
2017,12,December,Cat,Public Assist,15
2017,12,December,Cat,Stray,234
2017,12,December,Dog,Owner Surrender,334
2017,12,December,Dog,Public Assist,124
2017,12,December,Dog,Stray,762
2018,1,January,Cat,Owner Surrender,98
2018,1,January,Cat,Public Assist,13
2018,1,January,Cat,Stray,199
2018,1,January,Dog,Owner Surrender,338
2018,1,January,Dog,Public Assist,121
2018,1,January,Dog,Stray,867
2018,2,February,Cat,Owner Surrender,93
2018,2,February,Cat,Public Assist,2
2018,2,February,Cat,Stray,199
2018,2,February,Dog,Owner Surrender,289
2018,2,February,Dog,Public Assist,134
2018,2,February,Dog,Stray,796
2018,3,March,Cat,Owner Surrender,145
2018,3,March,Cat,Public Assist,12
2018,3,March,Cat,Stray,228
2018,3,March,Dog,Owner Surrender,380
2018,3,March,Dog,Public Assist,149
2018,3,March,Dog,Stray,910
2018,4,April,Cat,Owner Surrender,103
2018,4,April,Cat,Public Assist,11
2018,4,April,Cat,Stray,398
2018,4,April,Dog,Owner Surrender,351
2018,4,April,Dog,Public Assist,184
2018,4,April,Dog,Stray,820
2018,5,May,Cat,Owner Surrender,128
2018,5,May,Cat,Public Assist,20
2018,5,May,Cat,Stray,770
2018,5,May,Dog,Owner Surrender,353
2018,5,May,Dog,Public Assist,149
2018,5,May,Dog,Stray,764
2018,6,June,Cat,Owner Surrender,158
2018,6,June,Cat,Public Assist,14
2018,6,June,Cat,Stray,759
2018,6,June,Dog,Owner Surrender,353
2018,6,June,Dog,Public Assist,100
2018,6,June,Dog,Stray,797
2018,7,July,Cat,Owner Surrender,153
2018,7,July,Cat,Public Assist,24
2018,7,July,Cat,Stray,628
2018,7,July,Dog,Owner Surrender,300
2018,7,July,Dog,Public Assist,155
2018,7,July,Dog,Stray,831
2018,8,August,Cat,Owner Surrender,100
2018,8,August,Cat,Public Assist,11
2018,8,August,Cat,Stray,455
2018,8,August,Dog,Owner Surrender,350
2018,8,August,Dog,Public Assist,194
2018,8,August,Dog,Stray,762
2018,9,September,Cat,Owner Surrender,125
2018,9,September,Cat,Public Assist,25
2018,9,September,Cat,Stray,523
2018,9,September,Dog,Owner Surrender,371
2018,9,September,Dog,Public Assist,194
2018,9,September,Dog,Stray,926
2018,10,October,Cat,Owner Surrender,121
2018,10,October,Cat,Public Assist,12
2018,10,October,Cat,Stray,475
2018,10,October,Dog,Owner Surrender,336
2018,10,October,Dog,Public Assist,121
2018,10,October,Dog,Stray,961
2018,11,November,Cat,Owner Surrender,86
2018,11,November,Cat,Public Assist,16
2018,11,November,Cat,Stray,346
2018,11,November,Dog,Owner Surrender,238
2018,11,November,Dog,Public Assist,153
2018,11,November,Dog,Stray,881
2018,12,December,Cat,Owner Surrender,86
2018,12,December,Cat,Public Assist,9
2018,12,December,Cat,Stray,225
2018,12,December,Dog,Owner Surrender,346
2018,12,December,Dog,Public Assist,154
2018,12,December,Dog,Stray,811
2019,1,January,Cat,Owner Surrender,173
2019,1,January,Cat,Public Assist,25
2019,1,January,Cat,Stray,196
2019,1,January,Dog,Owner Surrender,374
2019,1,January,Dog,Public Assist,102
2019,1,January,Dog,Stray,870
2019,2,February,Cat,Owner Surrender,110
2019,2,February,Cat,Public Assist,24
2019,2,February,Cat,Stray,227
2019,2,February,Dog,Owner Surrender,346
2019,2,February,Dog,Public Assist,175
2019,2,February,Dog,Stray,763
2019,3,March,Cat,Owner Surrender,106
2019,3,March,Cat,Public Assist,27
2019,3,March,Cat,Stray,328
2019,3,March,Dog,Owner Surrender,405
2019,3,March,Dog,Public Assist,175
2019,3,March,Dog,Stray,926
2019,4,April,Cat,Owner Surrender,137
2019,4,April,Cat,Public Assist,14
2019,4,April,Cat,Stray,523
2019,4,April,Dog,Owner Surrender,370
2019,4,April,Dog,Public Assist,136
2019,4,April,Dog,Stray,867
2019,5,May,Cat,Owner Surrender,151
2019,5,May,Cat,Public Assist,16
2019,5,May,Cat,Stray,1018
2019,5,May,Dog,Owner Surrender,341
2019,5,May,Dog,Public Assist,149
2019,5,May,Dog,Stray,964
2019,6,June,Cat,Owner Surrender,173
2019,6,June,Cat,Public Assist,16
2019,6,June,Cat,Stray,878
2019,6,June,Dog,Owner Surrender,383
2019,6,June,Dog,Public Assist,111
2019,6,June,Dog,Stray,931
2019,7,July,Cat,Owner Surrender,184
2019,7,July,Cat,Public Assist,5
2019,7,July,Cat,Stray,765
2019,7,July,Dog,Owner Surrender,384
2019,7,July,Dog,Public Assist,201
2019,7,July,Dog,Stray,874
2019,8,August,Cat,Owner Surrender,209
2019,8,August,Cat,Public Assist,11
2019,8,August,Cat,Stray,694
2019,8,August,Dog,Owner Surrender,345
2019,8,August,Dog,Public Assist,156
2019,8,August,Dog,Stray,895
2019,9,September,Cat,Owner Surrender,251
2019,9,September,Cat,Public Assist,8
2019,9,September,Cat,Stray,675
2019,9,September,Dog,Owner Surrender,416
2019,9,September,Dog,Public Assist,122
2019,9,September,Dog,Stray,811
2019,10,October,Cat,Owner Surrender,264
2019,10,October,Cat,Public Assist,9
2019,10,October,Cat,Stray,529
2019,10,October,Dog,Owner Surrender,391
2019,10,October,Dog,Public Assist,123
2019,10,October,Dog,Stray,822
2019,11,November,Cat,Owner Surrender,149
2019,11,November,Cat,Public Assist,6
2019,11,November,Cat,Stray,427
2019,11,November,Dog,Owner Surrender,340
2019,11,November,Dog,Public Assist,57
2019,11,November,Dog,Stray,880
2019,12,December,Cat,Owner Surrender,153
2019,12,December,Cat,Public Assist,5
2019,12,December,Cat,Stray,231
2019,12,December,Dog,Owner Surrender,344
2019,12,December,Dog,Public Assist,64
2019,12,December,Dog,Stray,812
2020,1,January,Cat,Abandoned,7
2020,1,January,Cat,Owner Surrender,145
2020,1,January,Cat,Public Assist,23
2020,1,January,Cat,Stray,179
2020,1,January,Dog,Abandoned,12
2020,1,January,Dog,Owner Surrender,382
2020,1,January,Dog,Public Assist,71
2020,1,January,Dog,Stray,759
2020,2,February,Cat,Abandoned,9
2020,2,February,Cat,Owner Surrender,124
2020,2,February,Cat,Public Assist,16
2020,2,February,Cat,Stray,175
2020,2,February,Dog,Abandoned,20
2020,2,February,Dog,Owner Surrender,323
2020,2,February,Dog,Public Assist,72
2020,2,February,Dog,Stray,682
2020,3,March,Cat,Abandoned,16
2020,3,March,Cat,Owner Surrender,76
2020,3,March,Cat,Public Assist,14
2020,3,March,Cat,Stray,129
2020,3,March,Dog,Abandoned,26
2020,3,March,Dog,Owner Surrender,211
2020,3,March,Dog,Public Assist,95
2020,3,March,Dog,Stray,435
2020,4,April,Cat,Abandoned,5
2020,4,April,Cat,Owner Surrender,4
2020,4,April,Cat,Public Assist,9
2020,4,April,Cat,Stray,70
2020,4,April,Dog,Abandoned,17
2020,4,April,Dog,Owner Surrender,64
2020,4,April,Dog,Public Assist,59
2020,4,April,Dog,Stray,117
2020,5,May,Cat,Abandoned,2
2020,5,May,Cat,Owner Surrender,21
2020,5,May,Cat,Public Assist,17
2020,5,May,Cat,Stray,181
2020,5,May,Dog,Abandoned,14
2020,5,May,Dog,Owner Surrender,93
2020,5,May,Dog,Public Assist,50
2020,5,May,Dog,Stray,188
2020,6,June,Cat,Abandoned,10
2020,6,June,Cat,Owner Surrender,106
2020,6,June,Cat,Public Assist,7
2020,6,June,Cat,Stray,315
2020,6,June,Dog,Abandoned,25
2020,6,June,Dog,Owner Surrender,183
2020,6,June,Dog,Public Assist,66
2020,6,June,Dog,Stray,273
2020,7,July,Cat,Abandoned,7
2020,7,July,Cat,Owner Surrender,83
2020,7,July,Cat,Public Assist,12
2020,7,July,Cat,Stray,330
2020,7,July,Dog,Abandoned,4
2020,7,July,Dog,Owner Surrender,136
2020,7,July,Dog,Public Assist,35
2020,7,July,Dog,Stray,286
2020,8,August,Cat,Abandoned,15
2020,8,August,Cat,Owner Surrender,93
2020,8,August,Cat,Public Assist,12
2020,8,August,Cat,Stray,295
2020,8,August,Dog,Abandoned,10
2020,8,August,Dog,Owner Surrender,177
2020,8,August,Dog,Public Assist,48
2020,8,August,Dog,Stray,275
2020,9,September,Cat,Abandoned,7
2020,9,September,Cat,Owner Surrender,127
2020,9,September,Cat,Public Assist,8
2020,9,September,Cat,Stray,312
2020,9,September,Dog,Abandoned,8
2020,9,September,Dog,Owner Surrender,145
2020,9,September,Dog,Public Assist,117
2020,9,September,Dog,Stray,331
2020,10,October,Cat,Abandoned,24
2020,10,October,Cat,Owner Surrender,109
2020,10,October,Cat,Stray,275
2020,10,October,Dog,Abandoned,12
2020,10,October,Dog,Owner Surrender,220
2020,10,October,Dog,Public Assist,62
2020,10,October,Dog,Stray,327
2020,11,November,Cat,Abandoned,2
2020,11,November,Cat,Owner Surrender,80
2020,11,November,Cat,Public Assist,3
2020,11,November,Cat,Stray,134
2020,11,November,Dog,Abandoned,15
2020,11,November,Dog,Owner Surrender,191
2020,11,November,Dog,Public Assist,46
2020,11,November,Dog,Stray,325
2020,12,December,Cat,Abandoned,3
2020,12,December,Cat,Owner Surrender,71
2020,12,December,Cat,Public Assist,10
2020,12,December,Cat,Stray,116
2020,12,December,Dog,Abandoned,12
2020,12,December,Dog,Owner Surrender,196
2020,12,December,Dog,Public Assist,55
2020,12,December,Dog,Stray,320
2021,1,January,Cat,Owner Surrender,41
2021,1,January,Cat,Public Assist,10
2021,1,January,Cat,Stray,118
2021,1,January,Dog,Abandoned,10
2021,1,January,Dog,Owner Surrender,136
2021,1,January,Dog,Public Assist,76
2021,1,January,Dog,Stray,329
2021,2,February,Cat,Abandoned,4
2021,2,February,Cat,Owner Surrender,32
2021,2,February,Cat,Public Assist,5
2021,2,February,Cat,Stray,69
2021,2,February,Dog,Abandoned,13
2021,2,February,Dog,Owner Surrender,115
2021,2,February,Dog,Public Assist,67
2021,2,February,Dog,Stray,195
2021,3,March,Cat,Abandoned,9
2021,3,March,Cat,Owner Surrender,68
2021,3,March,Cat,Public Assist,5
2021,3,March,Cat,Stray,153
2021,3,March,Dog,Abandoned,8
2021,3,March,Dog,Owner Surrender,246
2021,3,March,Dog,Public Assist,62
2021,3,March,Dog,Stray,303
2021,4,April,Cat,Abandoned,57
2021,4,April,Cat,Owner Surrender,70
2021,4,April,Cat,Public Assist,12
2021,4,April,Cat,Stray,270
2021,4,April,Dog,Abandoned,18
2021,4,April,Dog,Owner Surrender,197
2021,4,April,Dog,Public Assist,66
2021,4,April,Dog,Stray,345
2021,5,May,Cat,Abandoned,23
2021,5,May,Cat,Owner Surrender,111
2021,5,May,Cat,Public Assist,24
2021,5,May,Cat,Stray,428
2021,5,May,Dog,Abandoned,9
2021,5,May,Dog,Owner Surrender,216
2021,5,May,Dog,Public Assist,80
2021,5,May,Dog,Stray,396
2021,6,June,Cat,Abandoned,29
2021,6,June,Cat,Owner Surrender,126
2021,6,June,Cat,Public Assist,14
2021,6,June,Cat,Stray,546
2021,6,June,Dog,Abandoned,18
2021,6,June,Dog,Owner Surrender,310
2021,6,June,Dog,Public Assist,85
2021,6,June,Dog,Stray,463
2021,7,July,Cat,Abandoned,16
2021,7,July,Cat,Owner Surrender,211
2021,7,July,Cat,Public Assist,12
2021,7,July,Cat,Stray,480
2021,7,July,Dog,Abandoned,7
2021,7,July,Dog,Owner Surrender,346
2021,7,July,Dog,Public Assist,53
2021,7,July,Dog,Stray,552
2021,8,August,Cat,Abandoned,40
2021,8,August,Cat,Owner Surrender,153
2021,8,August,Cat,Public Assist,9
2021,8,August,Cat,Stray,422
2021,8,August,Dog,Abandoned,21
2021,8,August,Dog,Owner Surrender,342
2021,8,August,Dog,Public Assist,47
2021,8,August,Dog,Stray,430
2021,9,September,Cat,Abandoned,13
2021,9,September,Cat,Owner Surrender,187
2021,9,September,Cat,Public Assist,4
2021,9,September,Cat,Stray,384
2021,9,September,Dog,Abandoned,19
2021,9,September,Dog,Owner Surrender,339
2021,9,September,Dog,Public Assist,56
2021,9,September,Dog,Stray,442
2021,10,October,Cat,Abandoned,25
2021,10,October,Cat,Owner Surrender,210
2021,10,October,Cat,Public Assist,7
2021,10,October,Cat,Stray,447
2021,10,October,Dog,Abandoned,23
2021,10,October,Dog,Euthanasia Request,1
2021,10,October,Dog,Owner Surrender,279
2021,10,October,Dog,Public Assist,46
2021,10,October,Dog,Stray,462
2021,10,October,Dog,Wildlife,1
2021,11,November,Cat,Abandoned,20
2021,11,November,Cat,Owner Surrender,153
2021,11,November,Cat,Public Assist,8
2021,11,November,Cat,Stray,292
2021,11,November,Dog,Abandoned,21
2021,11,November,Dog,Owner Surrender,325
2021,11,November,Dog,Public Assist,59
2021,11,November,Dog,Stray,388
2021,12,December,Cat,Abandoned,6
2021,12,December,Cat,Euthanasia Request,1
2021,12,December,Cat,Owner Surrender,174
2021,12,December,Cat,Public Assist,5
2021,12,December,Cat,Stray,174
2021,12,December,Dog,Abandoned,13
2021,12,December,Dog,Owner Surrender,298
2021,12,December,Dog,Public Assist,65
2021,12,December,Dog,Stray,502
2022,1,January,Cat,Abandoned,9
2022,1,January,Cat,Owner Surrender,121
2022,1,January,Cat,Public Assist,25
2022,1,January,Cat,Stray,155
2022,1,January,Dog,Abandoned,21
2022,1,January,Dog,Owner Surrender,277
2022,1,January,Dog,Public Assist,69
2022,1,January,Dog,Stray,481
2022,2,February,Cat,Owner Surrender,75
2022,2,February,Cat,Public Assist,11
2022,2,February,Cat,Stray,122
2022,2,February,Dog,Abandoned,14
2022,2,February,Dog,Owner Surrender,191
2022,2,February,Dog,Public Assist,68
2022,2,February,Dog,Stray,389
